blink_rate,gaze_center,head_angle,face_detected,typing_speed,mouse_movement,mouse_click_rate,idle_time,focus_score,productivity_score,cognitive_load
0.0,1,0.14572131633758545,1,0.0,0.0,0.0,0.0715484619140625,80,40,Low
0.0,1,0.14690357446670532,1,0.0,0.0,0.0,0.18107938766479492,80,40,Low
0.0,1,0.1464492678642273,1,0.0,9.4,0.0,0.0009975433349609375,90,54,Low
0.0,1,0.14745399355888367,1,0.0,17.0,0.0,0.009005546569824219,90,62,Low
0.0,1,0.1455036997795105,1,0.0,0.0,0.0,0.0877377986907959,80,40,Low
0.0,1,0.14246279001235962,1,0.0,0.0,0.0,0.17885661125183105,80,40,Low
1.0,1,0.1415298879146576,1,0.0,0.0,0.0,0.3059530258178711,65,32,Medium
1.0,1,0.14531606435775757,1,0.0,0.0,0.0,0.3838386535644531,65,32,Medium
1.0,1,0.14407679438591003,1,0.0,0.0,0.0,0.47724103927612305,65,32,Medium
0.0,1,0.14427733421325684,1,0.0,0.0,0.0,0.5722146034240723,80,40,Low
0.0,1,0.14743956923484802,1,0.0,0.0,0.0,0.7123878002166748,80,40,Low
0.0,1,0.1488879919052124,1,0.0,0.0,0.0,0.7882223129272461,80,40,Low
0.0,1,0.14795535802841187,1,0.2,0.0,0.0,0.08356404304504395,80,40,Low
0.0,1,0.1466335654258728,1,0.0,0.0,0.0,0.1800849437713623,80,40,Low
0.0,1,0.14894968271255493,1,0.2,0.0,0.0,0.1825416088104248,80,40,Low
0.0,1,0.14919164776802063,1,0.0,0.0,0.0,0.27545714378356934,80,40,Low
0.0,1,0.1466456651687622,1,0.0,0.0,0.0,0.36975908279418945,80,40,Low
0.0,1,0.14840596914291382,1,0.0,1.0,0.0,0.05111408233642578,90,46,Low
0.0,1,0.1467689871788025,1,0.0,0.0,0.2,0.06900930404663086,80,40,Low
0.0,1,0.14582684636116028,1,0.0,0.0,0.0,0.17705655097961426,80,40,Low
0.0,1,0.14840230345726013,1,0.0,0.0,0.0,0.2673985958099365,80,40,Low
0.0,1,0.14699774980545044,1,0.0,8.8,0.0,0.0029959678649902344,90,53,Low
0.0,1,0.14572933316230774,1,0.0,1.2,0.0,0.041552066802978516,90,46,Low
0.0,1,0.14629065990447998,1,0.0,0.0,0.2,0.06678366661071777,80,40,Low
0.0,1,0.14701655507087708,1,0.0,0.0,0.0,0.1773073673248291,80,40,Low
0.0,1,0.14707785844802856,1,0.0,0.0,0.0,0.28684401512145996,80,40,Low
0.0,1,0.14563044905662537,1,0.0,0.0,0.0,0.3792450428009033,80,40,Low
0.0,1,0.14311426877975464,1,0.0,0.0,0.0,0.47388458251953125,80,40,Low
1.0,1,0.14371779561042786,1,0.0,0.0,0.0,0.5837087631225586,65,32,Medium
0.0,1,0.14558464288711548,1,0.0,0.0,0.0,0.6797218322753906,80,40,Low
0.0,1,0.14699706435203552,1,0.2,0.0,0.0,0.0666203498840332,80,40,Low
0.0,1,0.14607274532318115,1,0.2,0.0,0.0,0.03519725799560547,80,40,Low
0.0,1,0.14688926935195923,1,0.2,0.0,0.0,0.0010004043579101562,80,40,Low
0.0,1,0.14792001247406006,1,0.0,0.0,0.0,0.11068964004516602,80,40,Low
0.0,1,0.14767509698867798,1,0.2,0.0,0.0,0.07633256912231445,80,40,Low
0.0,1,0.14715099334716797,1,0.2,0.0,0.0,0.043602943420410156,80,40,Low
0.0,1,0.14602354168891907,1,0.0,0.0,0.0,0.13885021209716797,80,40,Low
0.0,1,0.14704012870788574,1,0.0,0.0,0.0,0.23159456253051758,80,40,Low
0.0,1,0.14690709114074707,1,0.2,0.0,0.0,0.07668614387512207,80,40,Low
0.0,1,0.1475326418876648,1,0.2,0.0,0.0,0.035088539123535156,80,40,Low
0.0,1,0.14778059720993042,1,0.0,0.0,0.0,0.13009953498840332,80,40,Low
0.0,1,0.14701935648918152,1,0.0,0.0,0.0,0.22615480422973633,80,40,Low
1.0,1,0.14457327127456665,1,0.0,0.0,0.0,0.34586596488952637,65,32,Medium
1.0,1,0.1434900462627411,1,0.0,0.0,0.0,0.4398157596588135,65,32,Medium
1.0,1,0.14533352851867676,1,0.0,0.0,0.0,0.5308206081390381,65,32,Medium
1.0,1,0.14533793926239014,1,0.2,0.0,0.0,0.07991623878479004,65,32,Medium
1.0,1,0.14352697134017944,1,0.2,0.0,0.0,0.07073974609375,65,32,Medium
1.0,1,0.14321252703666687,1,0.2,0.0,0.0,0.03462934494018555,65,32,Medium
1.0,1,0.1440381109714508,1,0.2,0.0,0.0,0.05124354362487793,65,32,Medium
1.0,1,0.1448802649974823,1,0.0,0.0,0.0,0.1588881015777588,65,32,Medium
0.0,1,0.14403799176216125,1,0.4,0.0,0.0,0.0073664188385009766,80,40,Low
0.0,1,0.1436241865158081,1,0.2,0.0,0.0,0.033968448638916016,80,40,Low
0.0,1,0.14730021357536316,1,0.0,0.0,0.0,0.13021039962768555,80,40,Low
0.0,1,0.145302414894104,1,0.2,0.0,0.0,0.0937199592590332,80,40,Low
